Date,Time,Lat,Lon,sst,Speed,Dir,U(m/s),V(m/s)
2010-09-15,12:00:32,27.483600,-84.212100,29.481000,0.060322,-92.933100,-0.060243,-0.003087
2010-09-15,13:00:32,27.484200,-84.214400,29.481000,0.065648,-73.613677,-0.062981,0.018520
2010-09-15,14:00:24,27.486400,-84.216400,29.524000,0.087433,-38.885522,-0.054887,0.068058
2010-09-15,15:00:28,27.489700,-84.216700,29.524000,0.102077,-4.610703,-0.008205,0.101747
2010-09-15,16:00:32,27.493000,-84.214400,29.524000,0.119623,31.727186,0.062907,0.101747
2010-09-15,17:00:32,27.496800,-84.210100,29.524000,0.166191,45.107779,0.117735,0.117293
2010-09-15,18:00:12,27.500300,-84.204000,29.567000,0.200021,57.103193,0.167948,0.108637
2010-09-15,19:00:08,27.503300,-84.196500,29.567000,0.225504,65.726522,0.205568,0.092703
2010-09-15,20:00:28,27.504500,-84.188200,29.611000,0.228965,80.742163,0.225983,0.036835
2010-09-15,21:00:24,27.504800,-84.179100,29.611000,0.249588,87.871410,0.249416,0.009270
2010-09-15,22:01:04,27.502700,-84.169200,29.611000,0.275624,103.449663,0.268065,-0.064108
2010-09-15,23:00:16,27.498800,-84.159500,29.567000,0.295525,114.383854,0.269164,-0.122007
2010-09-16,00:01:20,27.493900,-84.149000,29.524000,0.319173,117.748594,0.282468,-0.148605
2010-09-16,01:00:32,27.486900,-84.139600,29.481000,0.340595,130.012334,0.260864,-0.218986
2010-09-16,02:00:20,27.478500,-84.131500,29.481000,0.342350,139.454128,0.222547,-0.260147
2010-09-16,03:01:04,27.469400,-84.125100,29.481000,0.327085,148.036687,0.173151,-0.277495
2010-09-16,04:00:40,27.459500,-84.120200,29.437000,0.335990,156.290490,0.135101,-0.307631
2010-09-16,05:00:32,27.449500,-84.117500,29.437000,0.318109,166.526380,0.074119,-0.309354
2010-09-16,06:00:08,27.441400,-84.116800,29.437000,0.252437,175.614388,0.019304,-0.251698
2010-09-16,07:00:08,27.435400,-84.117300,29.437000,0.185706,-175.770168,-0.013697,-0.185200
2010-09-16,08:01:20,27.432000,-84.117800,29.394000,0.103762,-172.563720,-0.013429,-0.102889
2010-09-16,09:00:52,27.428700,-84.119100,29.394000,0.108753,-160.727853,-0.035894,-0.102658
2010-09-16,10:00:16,27.426000,-84.121900,29.394000,0.114415,-137.371378,-0.077487,-0.084182
2010-09-16,11:00:32,27.425000,-84.122600,29.351000,0.036179,-148.146186,-0.019093,-0.030730
2010-09-16,12:00:32,27.425200,-84.123000,29.351000,0.012578,-60.607086,-0.010959,0.006173
2010-09-16,13:01:20,27.426900,-84.123500,29.351000,0.053518,-14.631122,-0.013518,0.051783
2010-09-16,14:00:08,27.429700,-84.124100,29.394000,0.089771,-10.768884,-0.016774,0.088190
2010-09-16,15:00:08,27.433200,-84.123700,29.394000,0.108588,5.792028,0.010958,0.108033
2010-09-16,16:00:32,27.435600,-84.122100,29.437000,0.085506,30.612490,0.043542,0.073589
2010-09-16,17:00:08,27.437400,-84.119400,29.481000,0.093130,53.087771,0.074463,0.055933
2010-09-16,18:00:36,27.439500,-84.114600,29.524000,0.145470,63.758813,0.130478,0.064320
2010-09-16,19:00:16,27.441500,-84.108700,29.567000,0.173979,69.095288,0.162527,0.062078
2010-09-16,20:00:12,27.442900,-84.100900,29.611000,0.218237,78.566467,0.213906,0.043261
2010-09-16,21:00:32,27.443200,-84.092900,29.611000,0.218129,87.580407,0.217935,0.009209
2010-09-16,22:00:32,27.442200,-84.083100,29.611000,0.270223,96.559019,0.268454,-0.030867
2010-09-16,23:00:32,27.440000,-84.072900,29.524000,0.287549,103.659819,0.279416,-0.067907
2010-09-17,00:00:12,27.436000,-84.062900,29.524000,0.302161,114.261050,0.275475,-0.124156
2010-09-17,01:00:08,27.430500,-84.053200,29.481000,0.315688,122.572482,0.266033,-0.169956
2010-09-17,02:00:32,27.423300,-84.044700,29.437000,0.319772,133.661194,0.231334,-0.220768
2010-09-17,03:00:12,27.414400,-84.038000,29.437000,0.332250,146.247514,0.184600,-0.276248
2010-09-17,04:00:36,27.404700,-84.033200,29.437000,0.324857,156.284435,0.130656,-0.297424
2010-09-17,05:00:32,27.395000,-84.031800,29.437000,0.302190,172.697998,0.038408,-0.299740
2010-09-17,06:00:16,27.385400,-84.032000,29.437000,0.297694,-178.940275,-0.005506,-0.297643
2010-09-17,07:00:32,27.378200,-84.033200,29.437000,0.223667,-171.581697,-0.032745,-0.221257
