Date,Time,Lat,Lon,sst,Speed,Dir,U(m/s),V(m/s)
2010-06-10,14:00:16,25.769800,-84.628700,29.349000,0.613182,175.269745,0.050566,-0.611094
2010-06-10,15:00:16,25.750600,-84.628900,29.479000,0.592666,-179.462497,-0.005560,-0.592640
2010-06-10,16:00:16,25.730500,-84.630400,29.653000,0.621820,-176.154270,-0.041706,-0.620420
2010-06-10,17:00:40,25.709800,-84.633800,29.870000,0.641620,-171.582575,-0.093923,-0.634709
2010-06-10,18:00:40,25.689900,-84.639100,30.131000,0.631687,-166.505045,-0.147410,-0.614247
2010-06-10,19:00:16,25.670100,-84.646200,30.261000,0.646592,-162.090841,-0.198833,-0.615262
2010-06-10,20:00:16,25.652500,-84.654700,30.478000,0.592496,-156.475515,-0.236489,-0.543253
2010-06-10,21:00:16,25.636300,-84.663100,30.608000,0.551973,-154.946586,-0.233740,-0.500040
2010-06-10,22:01:12,25.620300,-84.671300,30.391000,0.535709,-155.199298,-0.224710,-0.486302
2010-06-10,23:00:36,25.606000,-84.679600,30.131000,0.503226,-152.373174,-0.233352,-0.445852
2010-06-11,00:00:16,25.593200,-84.687200,29.914000,0.450673,-151.832516,-0.212740,-0.397301
2010-06-11,01:00:24,25.580600,-84.693700,29.783000,0.428006,-155.048288,-0.180556,-0.388058
2010-06-11,02:00:40,25.567400,-84.699000,29.696000,0.431422,-160.090722,-0.146913,-0.405637
2010-06-11,03:00:24,25.553800,-84.703000,29.653000,0.436251,-165.139990,-0.111880,-0.421661
2010-06-11,04:01:04,25.541100,-84.705000,29.610000,0.391593,-171.913358,-0.055086,-0.387699
2010-06-11,05:00:40,25.531300,-84.712800,29.610000,0.374918,-144.315318,-0.218699,-0.304523
2010-06-11,06:00:32,25.514000,-84.712700,29.610000,0.535190,179.701132,0.002792,-0.535183
2010-06-11,07:00:16,25.499200,-84.721200,29.566000,0.516848,-152.600116,-0.237852,-0.458866
2010-06-11,08:00:40,25.485100,-84.729400,29.566000,0.488286,-152.303130,-0.226952,-0.432338
2010-06-11,09:00:24,25.469700,-84.736900,29.566000,0.521578,-156.267144,-0.209921,-0.477469
2010-06-11,10:00:40,25.453100,-84.743600,29.523000,0.542935,-159.977579,-0.185894,-0.510119
2010-06-11,11:00:20,25.436100,-84.750500,29.523000,0.561989,-159.871497,-0.193396,-0.527665
2010-06-11,12:00:24,25.419700,-84.756400,29.523000,0.531671,-162.000751,-0.164289,-0.505651
2010-06-11,13:00:40,25.402400,-84.762100,29.566000,0.554674,-163.426814,-0.158215,-0.531631
2010-06-11,14:00:40,25.382800,-84.767800,29.610000,0.625517,-165.279863,-0.158943,-0.604987
2010-06-11,15:00:16,25.363800,-84.774500,29.696000,0.619646,-162.327341,-0.188111,-0.590403
2010-06-11,16:00:16,25.344200,-84.783100,29.827000,0.650810,-158.371061,-0.239885,-0.604987
2010-06-11,17:00:40,25.323900,-84.793600,30.000000,0.687104,-154.944031,-0.290991,-0.622444
2010-06-11,18:00:16,25.304900,-84.804300,30.174000,0.662505,-153.020233,-0.300563,-0.590403
2010-06-11,19:00:16,25.286500,-84.815100,30.435000,0.642964,-152.046182,-0.301396,-0.567947
2010-06-11,20:00:40,25.267500,-84.827500,30.695000,0.676466,-149.453244,-0.343808,-0.582583
2010-06-11,21:00:16,25.248300,-84.840300,30.739000,0.696671,-148.912927,-0.359719,-0.596617
2010-06-11,22:00:16,25.229300,-84.855400,30.695000,0.722277,-144.288772,-0.421593,-0.586467
2010-06-11,23:00:16,25.210200,-84.871800,30.739000,0.746526,-142.160172,-0.457961,-0.589553
2010-06-12,00:00:28,25.190600,-84.890200,30.565000,0.791147,-139.654539,-0.512185,-0.602977
2010-06-12,01:01:04,25.170500,-84.910600,30.391000,0.834062,-137.433191,-0.564200,-0.614277
2010-06-12,02:00:28,25.150700,-84.931600,30.217000,0.855748,-136.169874,-0.592625,-0.617333
2010-06-12,03:00:20,25.130000,-84.954700,30.087000,0.910253,-134.708464,-0.646913,-0.640363
2010-06-12,04:00:40,25.109500,-84.978400,30.000000,0.910966,-133.691344,-0.658693,-0.629271
2010-06-12,05:00:36,25.090100,-85.002900,30.000000,0.910715,-131.166667,-0.685584,-0.599479
2010-06-12,06:01:00,25.070500,-85.028900,29.914000,0.939434,-129.771356,-0.722052,-0.600980
2010-06-12,07:00:40,25.051200,-85.056500,29.870000,0.980352,-127.666264,-0.776030,-0.599055
2010-06-12,08:00:40,25.031900,-85.085500,29.827000,1.006279,-126.299724,-0.810992,-0.595727
2010-06-12,09:00:16,25.014500,-85.113600,29.740000,0.958312,-124.347121,-0.791215,-0.540685
2010-06-12,10:00:40,24.997500,-85.143200,29.696000,0.973787,-122.363569,-0.822527,-0.521258
2010-06-12,11:00:40,24.979400,-85.172100,29.653000,0.982790,-124.643619,-0.808545,-0.558687
2010-06-12,12:00:40,24.961100,-85.198200,29.610000,0.923271,-127.720002,-0.730316,-0.564860
2010-06-12,13:00:24,24.943000,-85.223100,29.610000,0.897138,-128.720589,-0.699953,-0.561181
2010-06-12,14:00:16,24.924300,-85.249600,29.696000,0.941950,-127.889710,-0.743381,-0.578492
2010-06-12,15:00:20,24.906300,-85.276100,29.870000,0.925803,-126.831331,-0.741016,-0.554983
2010-06-12,16:00:40,24.885800,-85.304500,30.131000,1.010585,-128.512088,-0.790759,-0.629271
2010-06-12,17:00:40,24.865100,-85.332800,30.261000,1.017977,-128.877464,-0.792485,-0.638940
2010-06-12,18:00:16,24.842500,-85.362300,30.391000,1.088593,-130.174330,-0.831778,-0.702268
