Date,Time,Lat,Lon,sst,Speed,Dir,U(m/s),V(m/s)
2010-05-21,05:00:40,27.817200,-85.052600,27.298000,0.296807,-11.062718,-0.056952,0.291291
2010-05-21,06:00:40,27.826900,-85.054100,27.255000,0.302194,-7.787635,-0.040948,0.299407
2010-05-21,07:00:16,27.837700,-85.054700,27.212000,0.336002,-2.812610,-0.016487,0.335597
2010-05-21,08:00:16,27.847900,-85.054700,27.212000,0.314840,0.000000,0.000000,0.314840
2010-05-21,09:00:16,27.847900,-85.054700,27.212000,0.000000,0.000000,0.000000,0.000000
2010-05-21,10:00:24,27.858100,-85.054100,27.212000,0.000000,0.000000,0.000000,0.000000
2010-05-21,11:00:40,27.876900,-85.053500,27.168000,0.271640,-0.575536,-0.002729,0.271627
2010-05-21,12:00:24,27.885900,-85.053500,27.125000,0.279040,0.000000,0.000000,0.279040
2010-05-21,13:00:16,27.893300,-85.053900,27.168000,0.229183,-2.735266,-0.010937,0.228922
2010-05-21,14:00:40,27.899900,-85.055400,27.168000,0.206413,-11.357421,-0.040649,0.202371
2010-05-21,15:00:40,27.906800,-85.057600,27.255000,0.221273,-15.736330,-0.060012,0.212980
2010-05-21,16:00:40,27.913400,-85.060900,27.298000,0.222720,-23.837834,-0.090012,0.203720
2010-05-21,18:00:24,27.927400,-85.069900,27.428000,0.249045,-29.597784,-0.123005,0.216548
2010-05-21,19:00:40,27.934900,-85.074500,27.515000,0.262139,-28.452680,-0.124892,0.230476
2010-05-21,20:01:12,27.942800,-85.078800,27.601000,0.268190,-25.681234,-0.116224,0.241698
2010-05-21,21:02:00,27.951400,-85.081000,27.688000,0.268566,-12.733877,-0.059198,0.261961
2010-05-21,22:01:12,27.960300,-85.080800,27.688000,0.278481,1.137151,0.005527,0.278426
2010-05-21,23:00:52,27.968100,-85.080400,27.688000,0.242353,2.593405,0.010966,0.242105
2010-05-22,00:01:04,27.974800,-85.079700,27.645000,0.206995,5.271907,0.019019,0.206120
2010-05-22,01:00:40,27.980900,-85.078100,27.601000,0.194569,13.041998,0.043908,0.189550
2010-05-22,02:00:24,27.986100,-85.077300,27.558000,0.162704,7.736772,0.021904,0.161223
2010-05-22,03:00:24,27.989300,-85.077700,27.515000,0.099373,-6.298869,-0.010903,0.098773
2010-05-22,04:00:24,27.992300,-85.079100,27.472000,0.100154,-22.395451,-0.038158,0.092600
2010-05-22,05:00:40,27.995700,-85.079900,27.428000,0.106714,-11.737019,-0.021708,0.104482
2010-05-22,06:00:16,27.998600,-85.081700,27.385000,0.102760,-28.724985,-0.049387,0.090114
2010-05-22,07:00:16,28.002400,-85.083200,27.385000,0.124213,-19.214995,-0.040880,0.117293
2010-05-22,08:00:24,28.007000,-85.084000,27.342000,0.143332,-8.729552,-0.021754,0.141672
2010-05-22,09:00:40,28.012000,-85.083500,27.342000,0.154248,5.045389,0.013565,0.153650
2010-05-22,10:00:40,28.017200,-85.081900,27.342000,0.166323,15.197085,0.043600,0.160507
2010-05-22,11:00:40,28.021900,-85.079400,27.298000,0.160271,25.153236,0.068122,0.145073
2010-05-22,12:00:48,28.025500,-85.077400,27.298000,0.123489,26.124187,0.054374,0.110874
2010-05-22,13:00:40,28.028000,-85.075000,27.342000,0.101373,40.278581,0.065538,0.077339
2010-05-22,14:01:44,28.029200,-85.074500,27.385000,0.038776,20.193378,0.013385,0.036393
