Date,Time,Lat,Lon,sst,Speed,Dir,U(m/s),V(m/s)
2010-06-10,16:00:16,25.642600,-84.342400,29.205000,0.607268,-160.224655,-0.205459,-0.571455
2010-06-10,17:00:16,25.613200,-84.355200,29.681000,0.974893,-158.567862,-0.356225,-0.907480
2010-06-10,18:00:20,25.587000,-84.368900,29.985000,0.893123,-154.752911,-0.380937,-0.807809
2010-06-10,19:00:40,25.562700,-84.380300,30.158000,0.809954,-157.063334,-0.315650,-0.745916
2010-06-10,20:00:24,25.538800,-84.392300,30.288000,0.813489,-155.629984,-0.335668,-0.741007
2010-06-10,21:00:32,25.515400,-84.405300,30.331000,0.806170,-153.374335,-0.361293,-0.720678
2010-06-10,22:00:52,25.493200,-84.418400,30.201000,0.772076,-151.960790,-0.362934,-0.681454
2010-06-10,23:00:40,25.471400,-84.431700,29.985000,0.770763,-151.156623,-0.371829,-0.675144
2010-06-11,00:00:40,25.450900,-84.444800,29.811000,0.730533,-150.016755,-0.365081,-0.632767
2010-06-11,01:00:24,25.431000,-84.457200,29.681000,0.707958,-150.633929,-0.347174,-0.616989
2010-06-11,02:00:24,25.411100,-84.469100,29.638000,0.698109,-151.626910,-0.331749,-0.614247
2010-06-11,03:00:24,25.390800,-84.479700,29.551000,0.692801,-154.747282,-0.295557,-0.626593
2010-06-11,04:00:40,25.369700,-84.490300,29.508000,0.712068,-155.587533,-0.294300,-0.648405
2010-06-11,05:00:40,25.347500,-84.501400,29.465000,0.751938,-155.685477,-0.309607,-0.685240
2010-06-11,06:00:40,25.324600,-84.511600,29.421000,0.761974,-158.071668,-0.284557,-0.706847
2010-06-11,07:00:40,25.301200,-84.522700,29.421000,0.785886,-156.789668,-0.309724,-0.722280
2010-06-11,08:00:20,25.277400,-84.534400,29.378000,0.808418,-156.035658,-0.328353,-0.738731
2010-06-11,09:00:40,25.252300,-84.548000,29.378000,0.857998,-153.894988,-0.377534,-0.770473
2010-06-11,10:00:40,25.225800,-84.563200,29.378000,0.921505,-152.578426,-0.424384,-0.817967
2010-06-11,11:00:16,25.198900,-84.581200,29.335000,0.977132,-148.809327,-0.506045,-0.835886
2010-06-11,12:00:40,25.171100,-84.601400,29.335000,1.020178,-146.673271,-0.560499,-0.852411
2010-06-11,13:00:16,25.144000,-84.624100,29.378000,1.056774,-142.831254,-0.638465,-0.842101
2010-06-11,14:00:12,25.117000,-84.649200,29.421000,1.090497,-139.914910,-0.702198,-0.834327
2010-06-11,15:00:40,25.092800,-84.675500,29.551000,1.039933,-135.458799,-0.729432,-0.741208
2010-06-11,16:00:16,25.070900,-84.702800,29.725000,1.026363,-131.531898,-0.768322,-0.680517
2010-06-11,17:01:08,25.049700,-84.731700,29.811000,1.024995,-129.000421,-0.796566,-0.645056
2010-06-11,18:00:24,25.027900,-84.761600,30.158000,1.086584,-128.824462,-0.846526,-0.681219
2010-06-11,19:00:16,25.007000,-84.793700,30.375000,1.108050,-125.697275,-0.899860,-0.646550
2010-06-11,20:00:40,24.986600,-84.825900,30.461000,1.091791,-124.954174,-0.894843,-0.625510
2010-06-11,21:00:12,24.966200,-84.857600,30.461000,1.096281,-125.371854,-0.893921,-0.634616
