Date,Time,Lat,Lon,sst,Speed,Dir,U(m/s),V(m/s)
2010-09-05,00:01:00,27.380100,-83.769100,29.768000,0.391209,-141.370196,-0.244226,-0.305611
2010-09-05,01:00:20,27.371400,-83.761500,29.725000,0.343685,142.198089,0.210656,-0.271557
2010-09-05,02:00:40,27.362500,-83.756900,29.681000,0.300601,155.344498,0.125399,-0.273196
2010-09-05,03:00:16,27.352300,-83.755000,29.681000,0.321261,170.606015,0.052437,-0.316953
2010-09-05,04:00:24,27.342400,-83.755100,29.638000,0.304915,-179.485950,-0.002736,-0.304902
2010-09-05,05:00:40,27.332800,-83.758400,29.595000,0.308456,-163.019496,-0.090084,-0.295009
2010-09-05,06:00:20,27.324500,-83.763600,29.595000,0.294840,-150.900550,-0.143389,-0.257625
2010-09-05,07:00:20,27.317700,-83.769400,29.508000,0.263351,-142.845365,-0.159056,-0.209893
2010-09-05,08:00:20,27.312800,-83.774400,29.508000,0.204154,-137.803678,-0.137124,-0.151247
2010-09-05,09:00:20,27.309600,-83.778500,29.465000,0.149667,-131.296261,-0.112446,-0.098773
2010-09-05,10:01:08,27.308100,-83.782300,29.465000,0.112542,-113.953191,-0.102849,-0.045691
2010-09-05,11:00:40,27.307900,-83.784300,29.421000,0.055632,-96.421192,-0.055283,-0.006222
2010-09-05,12:00:20,27.308700,-83.783300,29.421000,0.037111,48.001949,0.027580,0.024831
2010-09-05,13:00:40,27.309900,-83.780500,29.465000,0.084789,64.250561,0.076370,0.036835
2010-09-05,14:00:16,27.311100,-83.777700,29.508000,0.085831,64.250319,0.077308,0.037289
2010-09-05,15:00:16,27.312700,-83.775400,29.465000,0.080113,51.941475,0.063079,0.049387
2010-09-05,16:00:40,27.314400,-83.772400,29.378000,0.096938,57.471379,0.081731,0.052126
2010-09-05,17:00:56,27.314700,-83.765800,29.291000,0.180440,87.071375,0.180204,0.009219
2010-09-05,18:00:16,27.312600,-83.758600,29.335000,0.210164,108.173233,0.199681,-0.065548
2010-09-05,19:00:36,27.308300,-83.751000,29.291000,0.245744,122.487667,0.207287,-0.131993
2010-09-05,20:00:20,27.302700,-83.743800,29.335000,0.263613,131.196011,0.198358,-0.173625
2010-09-05,21:00:24,27.296200,-83.736300,29.291000,0.287036,134.283388,0.205488,-0.200411
2010-09-05,22:00:40,27.289200,-83.728600,29.335000,0.300816,135.650617,0.210280,-0.215111
2010-09-05,23:00:20,27.280300,-83.722300,29.291000,0.326368,147.825691,0.173790,-0.276248
2010-09-06,00:00:24,27.272100,-83.715600,29.291000,0.312462,144.012063,0.183607,-0.252826
2010-09-06,01:00:40,27.263400,-83.710300,29.291000,0.304032,151.564512,0.144771,-0.267352
2010-09-06,02:00:40,27.254500,-83.706300,29.248000,0.295827,158.222001,0.109755,-0.274713
2010-09-06,03:00:40,27.245600,-83.705600,29.248000,0.275384,176.000236,0.019209,-0.274713
2010-09-06,04:00:16,27.237600,-83.709400,29.248000,0.269850,-157.104936,-0.104984,-0.248591
2010-09-06,05:00:40,27.231100,-83.716000,29.205000,0.268513,-137.923605,-0.179936,-0.199305
2010-09-06,06:00:16,27.226100,-83.724000,29.205000,0.270185,-125.102939,-0.221044,-0.155369
2010-09-06,07:02:40,27.222300,-83.733400,29.205000,0.272515,-114.447316,-0.248082,-0.112782
2010-09-06,08:00:40,27.221200,-83.741600,29.161000,0.235469,-98.578646,-0.232834,-0.035124
2010-09-06,09:00:16,27.221100,-83.748100,29.161000,0.179637,-90.991159,-0.179610,-0.003107
2010-09-06,10:00:16,27.223100,-83.752900,29.118000,0.145496,-64.893860,-0.131750,0.061733
2010-09-06,11:00:24,27.226800,-83.755200,29.075000,0.130203,-28.931916,-0.062989,0.113953
2010-09-06,12:00:40,27.230800,-83.753600,29.075000,0.130464,19.579181,0.043720,0.122920
2010-09-06,13:00:40,27.234100,-83.748600,29.075000,0.170899,53.414394,0.137227,0.101860
2010-09-06,14:00:20,27.236200,-83.741000,29.118000,0.219640,72.736378,0.209745,0.065182
2010-09-06,15:00:20,27.236200,-83.732300,29.161000,0.238766,90.000000,0.238766,0.000000
2010-09-06,16:00:40,27.233900,-83.724400,29.205000,0.226880,108.130537,0.215615,-0.070601
2010-09-06,17:00:16,27.229900,-83.717600,29.248000,0.225275,123.487092,0.187882,-0.124295
2010-09-06,18:00:40,27.224700,-83.713200,29.465000,0.199534,143.042245,0.119965,-0.159444
2010-09-06,19:00:40,27.218600,-83.709900,29.595000,0.208941,154.309365,0.090578,-0.188287
2010-09-06,20:00:16,27.212000,-83.707400,29.768000,0.216410,161.383701,0.069084,-0.205087
2010-09-06,21:00:24,27.204800,-83.705200,29.811000,0.229789,164.797244,0.060259,-0.221747
2010-09-06,22:00:40,27.197200,-83.702900,29.768000,0.241861,164.935129,0.062863,-0.233549
2010-09-06,23:00:40,27.190100,-83.700200,29.638000,0.231351,161.311994,0.074128,-0.219153
2010-09-07,00:01:12,27.182500,-83.697900,29.551000,0.240798,164.933233,0.062594,-0.232520
2010-09-07,01:00:40,27.174300,-83.696500,29.508000,0.258305,171.363863,0.038787,-0.255377
2010-09-07,02:00:28,27.166600,-83.699400,29.421000,0.251498,-161.475867,-0.079902,-0.238468
2010-09-07,03:01:00,27.159000,-83.704800,29.248000,0.275085,-147.700380,-0.146991,-0.232520
2010-09-07,04:00:40,27.153700,-83.713500,29.205000,0.291193,-124.398292,-0.240272,-0.164507
2010-09-07,05:00:40,27.149600,-83.724500,29.161000,0.327553,-112.728224,-0.302117,-0.126553
2010-09-07,06:00:24,27.148200,-83.738600,29.118000,0.391412,-96.366999,-0.388998,-0.043406
2010-09-07,07:00:36,27.150900,-83.752600,29.031000,0.392141,-77.770995,-0.383243,0.083063
