Date,Time,Lat,Lon,sst,Speed,Dir,U(m/s),V(m/s)
2010-09-04,20:00:24,27.494600,-83.182900,29.767000,1.464332,-101.551612,-1.434672,-0.293233
2010-09-04,21:01:24,27.491200,-83.183100,29.724000,0.103367,-177.012988,-0.005386,-0.103226
2010-09-04,22:00:48,27.488600,-83.182400,29.767000,0.083344,166.567532,0.019361,-0.081064
2010-09-04,23:00:40,27.486400,-83.183000,29.767000,0.070021,-166.399239,-0.016466,-0.068058
2010-09-05,00:00:16,27.484000,-83.182900,29.724000,0.074628,177.883097,0.002757,-0.074577
2010-09-05,01:00:40,27.481800,-83.184500,29.638000,0.080279,-147.169933,-0.043523,-0.067457
2010-09-05,02:00:16,27.479600,-83.187100,29.594000,0.099050,-133.644565,-0.071676,-0.068362
2010-09-05,03:00:40,27.477000,-83.190700,29.551000,0.126278,-129.147652,-0.097931,-0.079722
2010-09-05,04:00:40,27.473400,-83.194400,29.551000,0.150381,-137.639709,-0.101325,-0.111120
2010-09-05,05:00:40,27.470200,-83.198000,29.508000,0.139557,-135.053256,-0.098590,-0.098773
2010-09-05,06:00:36,27.466100,-83.201400,29.508000,0.157293,-143.655008,-0.093219,-0.126694
2010-09-05,07:00:40,27.461600,-83.204200,29.464000,0.158487,-151.096954,-0.076601,-0.138746
2010-09-05,08:00:40,27.457000,-83.205500,29.421000,0.146383,-165.922263,-0.035606,-0.141987
2010-09-05,09:00:40,27.451800,-83.205600,29.378000,0.160530,-179.022345,-0.002739,-0.160507
2010-09-05,10:00:40,27.446300,-83.204600,29.335000,0.171962,170.834360,0.027392,-0.169767
2010-09-05,11:00:40,27.446300,-83.204600,29.335000,0.000000,0.000000,0.000000,0.000000
2010-09-05,12:00:40,27.440400,-83.203300,29.291000,0.185562,168.935791,0.035611,-0.182113
2010-09-05,13:00:16,27.425700,-83.201100,29.248000,0.247091,170.948342,0.038873,-0.244014
2010-09-05,14:01:12,27.416000,-83.200300,29.291000,0.542314,173.632928,0.060141,-0.538969
2010-09-05,15:00:40,27.405000,-83.201000,29.421000,0.343125,-176.766685,-0.019353,-0.342578
2010-09-05,16:01:00,27.396000,-83.204400,29.508000,0.291390,-161.458784,-0.092658,-0.276265
2010-09-05,17:00:20,27.380500,-83.210600,29.508000,0.513417,-160.446798,-0.171831,-0.483809
2010-09-05,18:00:40,27.367900,-83.218500,29.464000,0.442680,-150.891988,-0.215345,-0.386771
2010-09-05,19:04:00,27.356900,-83.221600,29.291000,0.331585,-165.948250,-0.080508,-0.321663
2010-09-05,22:02:56,27.331000,-83.230400,29.291000,0.280013,-163.205956,-0.080905,-0.268071
2010-09-06,01:02:08,27.309900,-83.240500,29.335000,0.236965,-156.960985,-0.092738,-0.218065
2010-09-06,02:01:40,27.304800,-83.245700,29.335000,0.214083,-137.824017,-0.143738,-0.158654
2010-09-06,09:04:00,27.282200,-83.281700,29.335000,0.171765,-125.238322,-0.140291,-0.099105
2010-09-06,10:03:08,27.279900,-83.281100,29.335000,0.073945,166.946455,0.016701,-0.072034
2010-09-06,11:01:36,27.278200,-83.278000,29.291000,0.102551,121.674905,0.087275,-0.053849
2010-09-06,13:03:08,27.269400,-83.267800,29.205000,0.192534,134.146901,0.138154,-0.134100
2010-09-06,14:01:20,27.261100,-83.262600,29.205000,0.302311,150.886644,0.147086,-0.264117
2010-09-06,16:01:32,27.240900,-83.258700,29.291000,0.315786,170.260633,0.053420,-0.311235
2010-09-06,18:03:28,27.224100,-83.262900,29.421000,0.261397,-167.467533,-0.056721,-0.255169
2010-09-06,19:03:28,27.218600,-83.264300,29.551000,0.174061,-167.245824,-0.038427,-0.169767
2010-09-06,20:00:24,27.214200,-83.266100,29.724000,0.152306,-160.008683,-0.052070,-0.143129
2010-09-06,21:00:40,27.209800,-83.267800,29.811000,0.142971,-161.037220,-0.046459,-0.135212
2010-09-06,22:00:40,27.205800,-83.269800,29.897000,0.135123,-156.026382,-0.054903,-0.123467
2010-09-06,23:02:36,27.201900,-83.272700,29.811000,0.139819,-146.521819,-0.077127,-0.116622
