Date,Time,Lat,Lon,Speed,Dir,U(m/s),V(m/s)
2010-05-26,17:00:00,26.418600,-85.942600,0.918515,108.008950,0.873516,-0.283973
2010-05-26,17:15:00,26.416000,-85.935000,0.899588,110.906559,0.840362,-0.321013
2010-05-26,17:30:00,26.413300,-85.927500,0.893816,111.898452,0.829324,-0.333360
2010-05-26,17:45:00,26.410600,-85.919900,0.904103,111.636630,0.840401,-0.333360
2010-05-26,18:00:00,26.407800,-85.911900,0.949803,111.344656,0.884654,-0.345707
2010-05-26,18:15:00,26.405100,-85.904000,0.935059,110.886165,0.873616,-0.333360
2010-05-26,18:30:00,26.402400,-85.895900,0.955774,110.413033,0.895754,-0.333360
2010-05-26,18:45:00,26.399500,-85.888200,0.923755,112.805649,0.851540,-0.358053
2010-05-26,19:00:00,26.396100,-85.880500,0.949411,116.241451,0.851563,-0.419787
2010-05-26,19:30:00,26.388800,-85.865200,0.958607,118.041603,0.846073,-0.450653
2010-05-26,20:00:00,26.381100,-85.849800,0.975334,119.167744,0.851658,-0.475347
2010-05-26,20:30:00,26.373300,-85.835200,0.940144,120.808954,0.807470,-0.481520
2010-05-26,21:00:00,26.365700,-85.821300,0.900660,121.394101,0.768807,-0.469173
2010-05-26,21:30:00,26.358200,-85.807600,0.888044,121.424235,0.757795,-0.463000
2010-05-26,22:00:00,26.351000,-85.794400,0.854829,121.329832,0.730184,-0.444480
2010-05-26,22:30:00,26.344200,-85.781100,0.847092,119.706826,0.735761,-0.419787
2010-05-26,23:00:00,26.337400,-85.768200,0.827981,120.464241,0.713674,-0.419787
2010-05-26,23:30:00,26.330000,-85.755700,0.828845,123.446673,0.691587,-0.456827
2010-05-27,00:00:00,26.322800,-85.743200,0.822141,122.727020,0.691631,-0.444480
2010-05-27,00:30:00,26.316300,-85.731500,0.761675,121.790958,0.647405,-0.401267
2010-05-27,01:00:00,26.309300,-85.719800,0.778409,123.720987,0.647443,-0.432133
2010-05-27,01:30:00,26.303000,-85.709000,0.713073,123.052977,0.597674,-0.388920
2010-05-27,02:00:00,26.296800,-85.698200,0.709752,122.633852,0.597706,-0.382747
2010-05-27,02:30:00,26.290700,-85.687200,0.715858,121.738580,0.608807,-0.376573
2010-05-27,03:00:00,26.284600,-85.676700,0.692502,122.941766,0.581164,-0.376573
2010-05-27,03:30:00,26.278300,-85.666200,0.699319,123.789349,0.581195,-0.388920
2010-05-27,04:00:00,26.272300,-85.655900,0.679907,123.009670,0.570155,-0.370400
2010-05-27,04:30:00,26.266300,-85.646000,0.661472,124.053228,0.548042,-0.370400
2010-05-27,05:00:00,26.260700,-85.636500,0.629373,123.318156,0.525925,-0.345707
2010-05-27,05:30:00,26.255000,-85.627200,0.623633,124.349651,0.514878,-0.351880
2010-05-27,06:00:00,26.249000,-85.618100,0.625333,126.322130,0.503831,-0.370400
2010-05-27,06:30:00,26.242600,-85.608900,0.644656,127.797655,0.509394,-0.395093
2010-05-27,07:00:00,26.236400,-85.599600,0.641621,126.621814,0.514959,-0.382747
2010-05-27,07:30:00,26.230100,-85.590100,0.654217,126.475695,0.526062,-0.388920
2010-05-27,08:00:00,26.223900,-85.581400,0.615317,128.464686,0.481788,-0.382747
2010-05-27,08:30:00,26.217300,-85.572200,0.652382,128.648577,0.509505,-0.407440
2010-05-27,09:00:00,26.210900,-85.564100,0.597788,131.370506,0.448611,-0.395093
2010-05-27,09:30:00,26.204400,-85.555800,0.610206,131.116518,0.459713,-0.401267
2010-05-27,10:00:00,26.197800,-85.547100,0.631055,130.214367,0.481895,-0.407440
2010-05-27,10:30:00,26.190700,-85.538700,0.639235,133.288595,0.465305,-0.438307
2010-05-27,11:00:00,26.183700,-85.530700,0.618985,134.277294,0.443175,-0.432133
2010-05-27,11:30:00,26.176800,-85.522700,0.614711,133.863600,0.443201,-0.425960
2010-05-27,12:00:00,26.169700,-85.514900,0.615519,135.405436,0.432147,-0.438307
2010-05-27,12:30:00,26.163100,-85.508100,0.554941,137.239988,0.376766,-0.407440
2010-05-27,13:00:00,26.156200,-85.501000,0.579839,137.274879,0.393411,-0.425960
2010-05-27,13:30:00,26.149200,-85.493800,0.588150,137.284671,0.398975,-0.432133
2010-05-27,14:00:00,26.142100,-85.487000,0.578027,139.312811,0.376833,-0.438307
2010-05-27,14:30:00,26.134400,-85.480100,0.610068,141.184622,0.382399,-0.475347
2010-05-27,15:00:00,26.126200,-85.473700,0.618121,144.980384,0.354713,-0.506213
2010-05-27,15:30:00,26.117400,-85.467500,0.642823,147.683239,0.343653,-0.543253
2010-05-27,16:00:00,26.108300,-85.462000,0.639171,151.511127,0.304877,-0.561773
2010-05-27,16:30:00,26.098600,-85.456500,0.671969,153.015903,0.304901,-0.598813
2010-05-27,17:00:00,26.088600,-85.451400,0.679005,155.391315,0.282750,-0.617333
2010-05-27,17:30:00,26.078300,-85.447300,0.675269,160.327123,0.227329,-0.635853
2010-05-27,18:00:00,26.067700,-85.442900,0.698379,159.551920,0.243985,-0.654373
2010-05-27,18:30:00,26.057000,-85.439200,0.691682,162.743492,0.205187,-0.660547
2010-05-27,19:00:00,26.046300,-85.435700,0.688478,163.623590,0.194114,-0.660547
2010-05-27,19:15:00,26.046300,-85.435700,0.000000,0.000000,0.000000,0.000000
2010-05-27,19:30:00,26.035400,-85.432800,1.383703,166.555989,0.321704,-1.345787
2010-05-27,20:00:00,26.023900,-85.429300,0.736003,164.704910,0.194150,-0.709933
2010-05-27,20:30:00,26.012600,-85.426400,0.715898,167.013060,0.160883,-0.697587
2010-05-27,21:00:00,26.001100,-85.423800,0.724441,168.514225,0.144254,-0.709933
2010-05-27,21:30:00,25.989500,-85.421200,0.730494,168.609551,0.144268,-0.716107
2010-05-27,22:00:00,25.977500,-85.418200,0.759276,167.334338,0.166480,-0.740800
2010-05-27,22:30:00,25.965500,-85.416100,0.749912,171.059108,0.116548,-0.740800
2010-05-27,23:00:00,25.953500,-85.414400,0.746785,172.741151,0.094358,-0.740800
2010-05-27,23:30:00,25.941500,-85.412100,0.751722,170.221378,0.127674,-0.740800
2010-05-28,00:00:00,25.929500,-85.409900,0.750801,170.637906,0.122135,-0.740800
2010-05-28,00:30:00,25.917400,-85.408400,0.751602,173.638181,0.083282,-0.746973
2010-05-28,01:00:00,25.905500,-85.407600,0.735969,176.539618,0.044422,-0.734627
2010-05-28,01:30:00,25.894300,-85.407600,0.691413,180.000000,0.000000,-0.691413
2010-05-28,02:00:00,25.883000,-85.407500,0.697609,179.543852,0.005554,-0.697587
2010-05-28,02:30:00,25.871900,-85.407400,0.685263,179.535589,0.005554,-0.685240
2010-05-28,03:00:00,25.860800,-85.407900,0.685803,-177.678948,-0.027774,-0.685240
2010-05-28,03:30:00,25.849100,-85.407900,0.722280,180.000000,0.000000,-0.722280
2010-05-28,04:00:00,25.837200,-85.408400,0.735152,-177.834407,-0.027780,-0.734627
2010-05-28,04:30:00,25.825500,-85.408500,0.722301,-179.559233,-0.005556,-0.722280
2010-05-28,05:00:00,25.813600,-85.409400,0.736327,-176.105307,-0.050013,-0.734627
2010-05-28,05:30:00,25.801700,-85.410500,0.737166,-175.242957,-0.061134,-0.734627
2010-05-28,06:00:00,25.789500,-85.411900,0.757156,-174.101182,-0.077814,-0.753147
2010-05-28,06:30:00,25.777400,-85.413700,0.753645,-172.370621,-0.100057,-0.746973
2010-05-28,07:00:00,25.765100,-85.415900,0.769107,-170.849864,-0.122305,-0.759320
2010-05-28,07:30:00,25.752300,-85.418100,0.799598,-171.200672,-0.122318,-0.790187
2010-05-28,08:00:00,25.740600,-85.419900,0.729182,-172.110589,-0.100089,-0.722280
2010-05-28,08:30:00,25.728800,-85.422100,0.738656,-170.466239,-0.122343,-0.728453
2010-05-28,09:00:00,25.716700,-85.425400,0.769190,-166.195799,-0.183532,-0.746973
2010-05-28,09:30:00,25.704000,-85.429200,0.812004,-164.912314,-0.211362,-0.784013
2010-05-28,10:00:00,25.691400,-85.433200,0.809040,-164.036201,-0.222510,-0.777840
2010-05-28,10:30:00,25.678500,-85.437700,0.834784,-162.548473,-0.250351,-0.796360
2010-05-28,11:00:00,25.665100,-85.442400,0.867577,-162.456993,-0.261506,-0.827227
2010-05-28,11:30:00,25.651700,-85.447300,0.871005,-161.757090,-0.272665,-0.827227
2010-05-28,12:00:00,25.638000,-85.452700,0.897553,-160.438174,-0.300522,-0.845747
2010-05-28,12:30:00,25.624500,-85.458700,0.897819,-158.163547,-0.333951,-0.833400
2010-05-28,13:00:00,25.610800,-85.465300,0.922096,-156.520099,-0.367388,-0.845747
2010-05-28,13:30:00,25.597100,-85.472100,0.926606,-155.886228,-0.378565,-0.845747
2010-05-28,14:00:00,25.583400,-85.479300,0.935944,-154.639309,-0.400879,-0.845747
2010-05-28,14:30:00,25.569300,-85.486800,0.965444,-154.368635,-0.417631,-0.870440
2010-05-28,15:00:00,25.555300,-85.494700,0.969803,-153.021561,-0.439956,-0.864267
2010-05-28,15:30:00,25.541000,-85.502800,0.991386,-152.930719,-0.451148,-0.882787
2010-05-28,16:00:00,25.526300,-85.510700,1.008550,-154.130007,-0.440061,-0.907480
2010-05-28,16:30:00,25.511800,-85.518700,0.999950,-153.531328,-0.445686,-0.895133
2010-05-28,17:00:00,25.497300,-85.527000,1.007536,-152.677645,-0.462455,-0.895133
2010-05-28,17:30:00,25.482700,-85.535500,1.018186,-152.277110,-0.473656,-0.901307
2010-05-28,18:00:00,25.467800,-85.544200,1.039794,-152.205325,-0.484860,-0.919827
2010-05-28,18:30:00,25.452500,-85.552900,1.061728,-152.823813,-0.484921,-0.944520
2010-05-28,19:00:00,25.436800,-85.561700,1.086288,-153.154179,-0.490558,-0.969213
2010-05-28,19:30:00,25.421300,-85.570700,1.080449,-152.327891,-0.501772,-0.956867
2010-05-28,20:00:00,25.405700,-85.580800,1.115621,-149.681491,-0.563173,-0.963040
2010-05-28,20:30:00,25.389600,-85.591300,1.153570,-149.495824,-0.585553,-0.993907
2010-05-28,21:00:00,25.373600,-85.602100,1.156918,-148.623312,-0.602364,-0.987733
2010-05-28,21:30:00,25.357900,-85.612900,1.141189,-148.135788,-0.602443,-0.969213
