Date,Time,Lat,Lon,Speed,Dir,U(m/s),V(m/s)
2010-07-14,17:00:00,26.414300,-82.901000,0.160887,-176.059007,-0.011058,-0.160507
2010-07-14,17:15:00,26.412000,-82.901000,0.283973,180.000000,0.000000,-0.283973
2010-07-14,17:30:00,26.409600,-82.901100,0.296526,-177.862838,-0.011058,-0.296320
2010-07-14,17:45:00,26.407200,-82.901200,0.296526,-177.862793,-0.011058,-0.296320
2010-07-14,18:00:00,26.404800,-82.901600,0.299603,-171.509722,-0.044234,-0.296320
2010-07-14,18:15:00,26.402400,-82.902100,0.301435,-169.430124,-0.055294,-0.296320
2010-07-14,18:30:00,26.399800,-82.902600,0.325741,-170.226672,-0.055295,-0.321013
2010-07-14,18:45:00,26.397300,-82.903300,0.318226,-165.920493,-0.077414,-0.308667
2010-07-14,19:00:00,26.394600,-82.904200,0.347902,-163.375371,-0.099535,-0.333360
2010-07-14,19:30:00,26.389100,-82.906000,0.353823,-163.660829,-0.099539,-0.339533
2010-07-14,20:00:00,26.383400,-82.908300,0.374163,-160.126567,-0.127194,-0.351880
2010-07-14,20:30:00,26.377600,-82.911000,0.387943,-157.361926,-0.149322,-0.358053
2010-07-14,21:00:00,26.371900,-82.914000,0.389037,-154.754701,-0.165922,-0.351880
2010-07-14,21:30:00,26.366500,-82.917500,0.385492,-149.855890,-0.193585,-0.333360
2010-07-14,22:00:00,26.361400,-82.921200,0.375511,-146.974806,-0.204656,-0.314840
2010-07-14,22:30:00,26.356700,-82.924900,0.355067,-144.801439,-0.204665,-0.290147
2010-07-14,23:00:00,26.352500,-82.928500,0.326930,-142.473767,-0.199141,-0.259280
2010-07-14,23:30:00,26.348300,-82.932100,0.326935,-142.472762,-0.199148,-0.259280
2010-07-15,00:00:00,26.344500,-82.935400,0.297252,-142.109381,-0.182559,-0.234587
2010-07-15,00:30:00,26.340900,-82.938500,0.280719,-142.342995,-0.171500,-0.222240
2010-07-15,01:00:00,26.337700,-82.941500,0.258015,-139.964000,-0.165973,-0.197547
2010-07-15,01:30:00,26.334900,-82.943900,0.217966,-142.469389,-0.132782,-0.172853
2010-07-15,02:00:00,26.332100,-82.945800,0.202309,-148.693949,-0.105121,-0.172853
2010-07-15,02:30:00,26.329400,-82.946900,0.177444,-159.940927,-0.060861,-0.166680
2010-07-15,03:00:00,26.326800,-82.947700,0.166498,-164.582470,-0.044264,-0.160507
2010-07-15,03:30:00,26.324000,-82.948100,0.174265,-172.703469,-0.022132,-0.172853
2010-07-15,04:00:00,26.321200,-82.948200,0.172942,-178.166524,-0.005533,-0.172853
2010-07-15,04:30:00,26.318100,-82.948200,0.191373,180.000000,0.000000,-0.191373
2010-07-15,05:00:00,26.315100,-82.948200,0.185200,180.000000,0.000000,-0.185200
2010-07-15,05:30:00,26.312200,-82.948200,0.179027,180.000000,0.000000,-0.179027
2010-07-15,06:00:00,26.309400,-82.948400,0.173207,-176.336422,-0.011068,-0.172853
2010-07-15,06:30:00,26.306900,-82.948800,0.155913,-171.837861,-0.022136,-0.154333
2010-07-15,07:00:00,26.304800,-82.949400,0.133825,-165.633886,-0.033204,-0.129640
2010-07-15,07:30:00,26.302800,-82.950500,0.137658,-153.754335,-0.060875,-0.123467
2010-07-15,08:00:00,26.301100,-82.952100,0.137312,-139.844411,-0.088547,-0.104947
2010-07-15,08:30:00,26.299700,-82.953700,0.123735,-134.305190,-0.088549,-0.086427
2010-07-15,09:00:00,26.298100,-82.956000,0.161118,-127.810350,-0.127290,-0.098773
2010-07-15,09:30:00,26.296700,-82.958700,0.172623,-120.044089,-0.149430,-0.086427
2010-07-15,10:00:00,26.295600,-82.961400,0.164137,-114.438660,-0.149431,-0.067907
2010-07-15,10:30:00,26.295200,-82.964000,0.146001,-99.737305,-0.143898,-0.024693
2010-07-15,11:00:00,26.294800,-82.966600,0.146002,-99.737272,-0.143898,-0.024693
2010-07-15,11:30:00,26.294800,-82.969000,0.132829,-90.000000,-0.132829,0.000000
2010-07-15,12:00:00,26.294900,-82.971000,0.110863,-86.807875,-0.110691,0.006173
2010-07-15,12:30:00,26.295000,-82.972800,0.099813,-86.454051,-0.099622,0.006173
2010-07-15,13:00:00,26.295400,-82.973700,0.055596,-63.630450,-0.049811,0.024693
2010-07-15,13:30:00,26.295700,-82.974100,0.028863,-50.085250,-0.022138,0.018520
2010-07-15,14:00:00,26.295900,-82.974500,0.025348,-60.851036,-0.022138,0.012347
2010-07-15,14:30:00,26.296600,-82.974500,0.043213,0.000000,0.000000,0.043213
2010-07-15,15:00:00,26.297500,-82.972600,0.118930,62.149589,0.105155,0.055560
2010-07-15,15:30:00,26.298000,-82.970400,0.125609,75.774633,0.121757,0.030867
2010-07-15,16:00:00,26.298100,-82.967800,0.144027,87.543414,0.143894,0.006173
2010-07-15,16:30:00,26.297900,-82.964700,0.172010,94.116155,0.171567,-0.012347
2010-07-15,17:00:00,26.297400,-82.961400,0.185226,99.592715,0.182636,-0.030867
2010-07-15,17:30:00,26.296700,-82.958100,0.187680,103.311827,0.182637,-0.043213
2010-07-15,18:00:00,26.295800,-82.954700,0.196204,106.449806,0.188173,-0.055560
2010-07-15,18:30:00,26.294900,-82.951400,0.190903,106.920063,0.182640,-0.055560
2010-07-15,19:00:00,26.293600,-82.948500,0.179449,116.565584,0.160503,-0.080253
2010-07-15,19:30:00,26.291900,-82.946000,0.173664,127.179202,0.138366,-0.104947
2010-07-15,20:00:00,26.290100,-82.943800,0.164846,132.383047,0.121764,-0.111120
2010-07-15,20:30:00,26.288200,-82.941800,0.161281,136.657365,0.110697,-0.117293
2010-07-15,21:00:00,26.285900,-82.940100,0.170335,146.467786,0.094094,-0.141987
2010-07-15,21:30:00,26.283700,-82.939200,0.144661,159.857340,0.049815,-0.135813
2010-07-15,22:00:00,26.281300,-82.938800,0.149805,171.500787,0.022141,-0.148160
2010-07-15,22:30:00,26.278900,-82.939300,0.150723,-169.419092,-0.027676,-0.148160
2010-07-15,23:00:00,26.276300,-82.941000,0.186058,-149.617867,-0.094101,-0.160507
2010-07-15,23:30:00,26.273400,-82.943100,0.213456,-147.003506,-0.116246,-0.179027
2010-07-16,00:00:00,26.270200,-82.945400,0.235021,-147.197965,-0.127320,-0.197547
2010-07-16,00:30:00,26.267100,-82.948000,0.239457,-143.053355,-0.143931,-0.191373
