Date,Time,Lat,Lon,Speed,Dir,U(m/s),V(m/s)
2010-05-29,19:30:00,27.440700,-85.112800,0.297196,-17.155184,-0.087661,0.283973
2010-05-29,19:45:00,27.444800,-85.114100,0.525873,-15.716256,-0.142445,0.506213
2010-05-29,20:00:00,27.448900,-85.115500,0.528945,-16.858272,-0.153397,0.506213
2010-05-29,20:15:00,27.453100,-85.116700,0.534968,-14.227217,-0.131478,0.518560
2010-05-29,20:30:00,27.457300,-85.117900,0.534967,-14.226697,-0.131473,0.518560
2010-05-29,20:45:00,27.461500,-85.118800,0.527851,-10.765920,-0.098601,0.518560
2010-05-29,21:00:00,27.465600,-85.119700,0.515726,-11.021742,-0.098597,0.506213
2010-05-29,21:15:00,27.469800,-85.120500,0.525914,-9.592572,-0.087639,0.518560
2010-05-29,21:30:00,27.474100,-85.121300,0.538091,-9.373139,-0.087635,0.530907
2010-05-29,22:00:00,27.482200,-85.122000,0.501508,-4.384317,-0.038338,0.500040
2010-05-29,22:30:00,27.490100,-85.122600,0.488799,-3.854557,-0.032859,0.487693
2010-05-29,23:00:00,27.497700,-85.123300,0.470737,-4.670856,-0.038333,0.469173
2010-05-29,23:30:00,27.505400,-85.123700,0.475851,-2.638199,-0.021903,0.475347
2010-05-30,00:00:00,27.512700,-85.123300,0.451185,2.782348,0.021901,0.450653
2010-05-30,00:30:00,27.519400,-85.122700,0.414916,4.541026,0.032850,0.413613
2010-05-30,01:00:00,27.525700,-85.122800,0.388959,-0.806479,-0.005475,0.388920
2010-05-30,01:30:00,27.531800,-85.123500,0.378518,-5.810504,-0.038321,0.376573
2010-05-30,02:00:00,27.537400,-85.124300,0.348469,-7.219546,-0.043793,0.345707
2010-05-30,02:30:00,27.543000,-85.125000,0.347824,-6.324611,-0.038317,0.345707
2010-05-30,03:00:00,27.548400,-85.126100,0.338754,-10.237952,-0.060209,0.333360
2010-05-30,03:30:00,27.553500,-85.127300,0.321618,-11.783576,-0.065679,0.314840
2010-05-30,04:00:00,27.558100,-85.128500,0.291469,-13.022220,-0.065676,0.283973
2010-05-30,04:30:00,27.562500,-85.129800,0.280790,-14.677621,-0.071147,0.271627
2010-05-30,05:00:00,27.566900,-85.131500,0.287117,-18.906694,-0.093034,0.271627
2010-05-30,05:30:00,27.570700,-85.133600,0.261223,-26.099468,-0.114920,0.234587
2010-05-30,06:00:00,27.574400,-85.136900,0.291175,-38.329744,-0.180583,0.228413
2010-05-30,06:30:00,27.578400,-85.140400,0.312500,-37.796978,-0.191520,0.246933
2010-05-30,07:00:00,27.583000,-85.143800,0.339488,-33.230225,-0.186041,0.283973
2010-05-30,07:30:00,27.588100,-85.147400,0.371381,-32.031659,-0.196976,0.314840
2010-05-30,08:00:00,27.593200,-85.151300,0.380336,-34.127178,-0.213381,0.314840
2010-05-30,08:30:00,27.598600,-85.155500,0.404882,-34.578311,-0.229783,0.333360
2010-05-30,09:00:00,27.603800,-85.159600,0.391613,-34.943147,-0.224302,0.321013
2010-05-30,09:30:00,27.608700,-85.163900,0.383192,-37.870225,-0.235232,0.302493
2010-05-30,10:00:00,27.613600,-85.167900,0.373337,-35.880393,-0.218811,0.302493
2010-05-30,10:30:00,27.618200,-85.171900,0.358490,-37.614251,-0.218801,0.283973
2010-05-30,11:00:00,27.622700,-85.176500,0.374808,-42.168014,-0.251611,0.277800
2010-05-30,11:30:00,27.627200,-85.180800,0.363989,-40.252049,-0.235192,0.277800
2010-05-30,12:00:00,27.632200,-85.184800,0.378335,-35.327895,-0.218774,0.308667
2010-05-30,12:30:00,27.637000,-85.189000,0.374925,-37.782241,-0.229702,0.296320
2010-05-30,13:00:00,27.642100,-85.193300,0.392969,-36.756842,-0.235161,0.314840
2010-05-30,13:30:00,27.647500,-85.197400,0.401746,-33.924107,-0.224212,0.333360
2010-05-30,14:00:00,27.652400,-85.202000,0.393416,-39.745783,-0.251543,0.302493
2010-05-30,14:30:00,27.657200,-85.206900,0.399494,-42.120309,-0.267937,0.296320
2010-05-30,15:00:00,27.662800,-85.212600,0.465456,-42.035745,-0.311666,0.345707
2010-05-30,15:30:00,27.668700,-85.218200,0.475824,-40.051658,-0.306182,0.364227
2010-05-30,16:00:00,27.675300,-85.224400,0.530007,-39.758652,-0.338968,0.407440
2010-05-30,16:30:00,27.681900,-85.230200,0.516282,-37.890971,-0.317080,0.407440
2010-05-30,17:00:00,27.689400,-85.236000,0.561156,-34.403125,-0.317060,0.463000
2010-05-30,17:30:00,27.697100,-85.241500,0.562440,-32.311844,-0.300639,0.475347
2010-05-30,18:00:00,27.705300,-85.246800,0.583241,-29.780793,-0.289686,0.506213
2010-05-30,18:30:00,27.713800,-85.251600,0.586656,-26.562449,-0.262337,0.524733
2010-05-30,19:00:00,27.722700,-85.256200,0.604206,-24.586114,-0.251386,0.549427
2010-05-30,19:30:00,27.731900,-85.259900,0.602862,-19.595379,-0.202185,0.567947
2010-05-30,20:00:00,27.740800,-85.263100,0.576577,-17.653030,-0.174848,0.549427
2010-05-30,20:30:00,27.749200,-85.266000,0.542226,-16.990295,-0.158444,0.518560
2010-05-30,21:00:00,27.757300,-85.268500,0.518357,-15.276923,-0.136579,0.500040
2010-05-30,21:30:00,27.765500,-85.270300,0.515675,-10.992543,-0.098330,0.506213
2010-05-30,22:00:00,27.773300,-85.271700,0.487555,-9.024099,-0.076473,0.481520
2010-05-30,22:30:00,27.780400,-85.273100,0.444927,-9.896309,-0.076468,0.438307
2010-05-30,23:00:00,27.787000,-85.274300,0.412678,-9.138149,-0.065540,0.407440
2010-05-30,23:30:00,27.793500,-85.274800,0.402195,-3.893021,-0.027307,0.401267
2010-05-31,00:00:00,27.800000,-85.275200,0.401861,-3.115957,-0.021844,0.401267
2010-05-31,00:30:00,27.806300,-85.275700,0.389877,-4.015736,-0.027303,0.388920
2010-05-31,01:00:00,27.812300,-85.276200,0.371405,-4.215578,-0.027302,0.370400
2010-05-31,01:30:00,27.818100,-85.276500,0.358428,-2.619329,-0.016380,0.358053
2010-05-31,02:00:00,27.823300,-85.277300,0.323971,-7.748280,-0.043678,0.321013
2010-05-31,02:30:00,27.828000,-85.278000,0.292653,-7.503520,-0.038217,0.290147
2010-05-31,03:00:00,27.831900,-85.278400,0.241748,-5.182617,-0.021837,0.240760
