Date,Time,Lat,Lon,Speed,Dir,U(m/s),V(m/s)
2010-05-23,17:15:00,28.079800,-87.763800,0.040960,-127.074975,-0.032680,-0.024693
2010-05-23,17:30:00,28.079700,-87.764300,0.055849,-102.772078,-0.054467,-0.012347
2010-05-23,17:45:00,28.079700,-87.764800,0.054467,-90.000000,-0.054467,0.000000
2010-05-23,18:00:00,28.079700,-87.765500,0.076254,-90.000000,-0.076254,0.000000
2010-05-23,18:15:00,28.079600,-87.766200,0.077247,-99.197259,-0.076254,-0.012347
2010-05-23,18:30:00,28.079700,-87.766800,0.066516,-79.302792,-0.065360,0.012347
2010-05-23,18:45:00,28.079700,-87.767300,0.054467,-90.000000,-0.054467,0.000000
2010-05-23,19:00:00,28.079600,-87.767900,0.066516,-100.697208,-0.065360,-0.012347
2010-05-23,19:30:00,28.079700,-87.769000,0.060231,-84.117165,-0.059914,0.006173
2010-05-23,20:00:00,28.079800,-87.770000,0.054816,-83.533634,-0.054467,0.006173
2010-05-23,20:30:00,28.079600,-87.770700,0.040076,-107.943575,-0.038127,-0.012347
2010-05-23,21:00:00,28.079200,-87.771000,0.029610,-146.506512,-0.016340,-0.024693
2010-05-23,21:30:00,28.078600,-87.771400,0.042972,-149.535950,-0.021787,-0.037040
2010-05-23,22:00:00,28.077800,-87.771900,0.056398,-151.125845,-0.027234,-0.049387
2010-05-23,22:30:00,28.077000,-87.772500,0.059221,-146.506021,-0.032681,-0.049387
2010-05-23,23:00:00,28.076000,-87.772700,0.062687,-169.992387,-0.010894,-0.061733
2010-05-23,23:30:00,28.075300,-87.773100,0.048395,-153.243360,-0.021788,-0.043213
2010-05-24,00:00:00,28.074500,-87.773300,0.050574,-167.560709,-0.010894,-0.049387
2010-05-24,00:30:00,28.073200,-87.772900,0.083158,164.810897,0.021788,-0.080253
2010-05-24,01:00:00,28.071100,-87.772100,0.136768,161.420675,0.043577,-0.129640
2010-05-24,01:30:00,28.069200,-87.771400,0.123335,161.991461,0.038130,-0.117293
2010-05-24,02:00:00,28.067000,-87.771000,0.137550,170.885459,0.021789,-0.135813
2010-05-24,02:30:00,28.064300,-87.770900,0.166769,178.128136,0.005447,-0.166680
2010-05-24,03:00:00,28.061400,-87.771100,0.179358,-176.517424,-0.010895,-0.179027
2010-05-24,03:30:00,28.058300,-87.771700,0.194145,-170.307519,-0.032686,-0.191373
2010-05-24,04:00:00,28.055400,-87.772800,0.188790,-161.492839,-0.059926,-0.179027
2010-05-24,04:30:00,28.053800,-87.774100,0.121541,-144.358300,-0.070824,-0.098773
2010-05-24,05:00:00,28.052600,-87.774900,0.085950,-149.529961,-0.043584,-0.074080
2010-05-24,05:30:00,28.051100,-87.775100,0.093239,-173.288886,-0.010896,-0.092600
2010-05-24,06:00:00,28.049700,-87.775200,0.086598,-176.392952,-0.005448,-0.086427
2010-05-24,06:30:00,28.048400,-87.775400,0.080990,-172.267879,-0.010896,-0.080253
2010-05-24,07:00:00,28.046800,-87.775900,0.102461,-164.581189,-0.027242,-0.098773
2010-05-24,07:30:00,28.045300,-87.776200,0.094032,-169.989608,-0.016345,-0.092600
2010-05-24,08:00:00,28.044300,-87.776300,0.061973,-174.956257,-0.005448,-0.061733
2010-05-24,08:30:00,28.043600,-87.775900,0.048398,153.236567,0.021794,-0.043213
2010-05-24,09:00:00,28.043400,-87.775000,0.050567,104.132403,0.049037,-0.012347
2010-05-24,09:30:00,28.042900,-87.773600,0.082288,112.030789,0.076280,-0.030867
2010-05-24,10:00:00,28.041800,-87.772100,0.106259,129.722451,0.081729,-0.067907
2010-05-24,10:30:00,28.040700,-87.770500,0.110505,127.916462,0.087178,-0.067907
2010-05-24,11:00:00,28.039500,-87.769400,0.095290,141.024813,0.059936,-0.074080
2010-05-24,11:30:00,28.038200,-87.768500,0.094050,148.572947,0.049039,-0.080253
2010-05-24,12:00:00,28.036900,-87.767800,0.088856,154.579776,0.038142,-0.080253
2010-05-24,12:30:00,28.035700,-87.766900,0.088841,146.495939,0.049040,-0.074080
2010-05-24,13:00:00,28.034200,-87.765800,0.110306,147.085633,0.059939,-0.092600
2010-05-24,13:30:00,28.032400,-87.764800,0.123761,153.877833,0.054490,-0.111120
2010-05-24,14:00:00,28.031000,-87.763700,0.105178,145.257131,0.059940,-0.086427
2010-05-24,14:30:00,28.029300,-87.762700,0.118251,152.560057,0.054492,-0.104947
2010-05-24,15:00:00,28.026800,-87.762000,0.158977,166.116956,0.038145,-0.154333
2010-05-24,15:30:00,28.023800,-87.760900,0.194659,162.064716,0.059944,-0.185200
2010-05-24,16:00:00,28.021300,-87.759100,0.182869,147.560402,0.098093,-0.154333
2010-05-24,16:30:00,28.018200,-87.757300,0.215050,152.860992,0.098095,-0.191373
2010-05-24,17:00:00,28.014300,-87.755100,0.268963,153.526793,0.119898,-0.240760
2010-05-24,17:30:00,28.009700,-87.753100,0.304175,159.000826,0.109002,-0.283973
2010-05-24,18:00:00,28.004300,-87.751500,0.344578,165.340104,0.087206,-0.333360
2010-05-24,18:30:00,27.998400,-87.750500,0.368283,171.488833,0.054507,-0.364227
2010-05-24,19:00:00,27.992100,-87.750000,0.389874,175.991363,0.027255,-0.388920
2010-05-24,19:30:00,27.986100,-87.749900,0.370440,179.156823,0.005451,-0.370400
2010-05-24,20:00:00,27.980500,-87.749800,0.345750,179.096557,0.005452,-0.345707
2010-05-24,20:30:00,27.975200,-87.749700,0.327232,179.045380,0.005452,-0.327187
2010-05-24,21:00:00,27.969000,-87.749600,0.382785,179.183890,0.005452,-0.382747
2010-05-24,21:30:00,27.963100,-87.749900,0.364594,-177.428587,-0.016357,-0.364227
2010-05-24,22:00:00,27.957700,-87.750800,0.336953,-171.625525,-0.049075,-0.333360
2010-05-24,22:30:00,27.952800,-87.751900,0.308383,-168.784031,-0.059983,-0.302493
2010-05-24,23:00:00,27.948000,-87.753200,0.304682,-166.545359,-0.070892,-0.296320
2010-05-24,23:30:00,27.943300,-87.754800,0.302983,-163.262424,-0.087256,-0.290147
2010-05-25,00:00:00,27.938900,-87.756300,0.283678,-163.239315,-0.081806,-0.271627
