Date,Time,Lat,Lon,Speed,Dir,U(m/s),V(m/s)
2010-05-23,20:15:00,30.118700,-87.477700,0.024671,59.970258,0.021359,0.012347
2010-05-23,20:30:00,30.119000,-87.477600,0.038549,16.083795,0.010680,0.037040
2010-05-23,20:45:00,30.119600,-87.477400,0.077098,16.083725,0.021359,0.074080
2010-05-23,21:00:00,30.120200,-87.477000,0.085514,29.969962,0.042718,0.074080
2010-05-23,21:15:00,30.120800,-87.476600,0.085514,29.969811,0.042718,0.074080
2010-05-23,21:30:00,30.121500,-87.476100,0.101592,31.709142,0.053397,0.086427
2010-05-23,21:45:00,30.122400,-87.475400,0.133926,33.930539,0.074756,0.111120
2010-05-23,22:00:00,30.123700,-87.474600,0.181828,28.025331,0.085434,0.160507
2010-05-23,22:30:00,30.126500,-87.471600,0.235664,42.821656,0.160185,0.172853
2010-05-23,23:00:00,30.129900,-87.467900,0.288242,43.265605,0.197556,0.209893
2010-05-23,23:30:00,30.134700,-87.463700,0.371605,37.116979,0.224243,0.296320
2010-05-24,00:00:00,30.140200,-87.457900,0.459530,42.364679,0.309653,0.339533
2010-05-24,00:30:00,30.146200,-87.451500,0.503917,42.689202,0.341666,0.370400
2010-05-24,01:00:00,30.152200,-87.444100,0.541519,46.842836,0.395027,0.370400
2010-05-24,01:30:00,30.157400,-87.435300,0.568947,55.651629,0.469736,0.321013
2010-05-24,02:00:00,30.161600,-87.424900,0.612682,64.963951,0.555116,0.259280
2010-05-24,02:30:00,30.164500,-87.413600,0.629142,73.467639,0.603133,0.179027
2010-05-24,03:00:00,30.166800,-87.401800,0.645610,77.295296,0.629803,0.141987
2010-05-24,03:30:00,30.168200,-87.389700,0.651561,82.377502,0.645803,0.086427
2010-05-24,04:00:00,30.168700,-87.376900,0.683854,87.413000,0.683157,0.030867
2010-05-24,04:30:00,30.168200,-87.363600,0.710514,92.489869,0.709843,-0.030867
2010-05-24,05:00:00,30.166400,-87.350200,0.723769,98.831524,0.715189,-0.111120
2010-05-24,05:30:00,30.163800,-87.336300,0.759055,102.207681,0.741891,-0.160507
2010-05-24,06:00:00,30.159500,-87.323400,0.737940,111.083133,0.688542,-0.265453
2010-05-24,06:30:00,30.153900,-87.311100,0.742004,117.769080,0.656550,-0.345707
2010-05-24,07:00:00,30.147000,-87.298800,0.782658,122.973273,0.656591,-0.425960
2010-05-24,07:30:00,30.139600,-87.287800,0.744002,127.880214,0.587238,-0.456827
2010-05-24,08:00:00,30.131600,-87.278400,0.704108,134.540021,0.501861,-0.493867
2010-05-24,08:30:00,30.122900,-87.271100,0.663611,144.030428,0.389776,-0.537080
2010-05-24,09:00:00,30.114100,-87.265000,0.633424,149.053311,0.325732,-0.543253
2010-05-24,09:30:00,30.105100,-87.259900,0.618765,153.885682,0.272358,-0.555600
2010-05-24,10:00:00,30.095800,-87.256000,0.610737,160.059037,0.208293,-0.574120
2010-05-24,10:30:00,30.086400,-87.253500,0.595459,167.041022,0.133534,-0.580293
2010-05-24,11:00:00,30.076700,-87.252500,0.601191,174.902280,0.053419,-0.598813
2010-05-24,11:30:00,30.066900,-87.252500,0.604987,180.000000,0.000000,-0.604987
2010-05-24,12:00:00,30.057500,-87.253700,0.583825,-173.695129,-0.064115,-0.580293
2010-05-24,12:30:00,30.048500,-87.256300,0.572706,-165.960985,-0.138929,-0.555600
2010-05-24,13:00:00,30.039800,-87.260100,0.574188,-159.288617,-0.203068,-0.537080
